1	2
1	5
1	6
2	1
2	3
2	4
2	5
2	7
3	2
3	4
3	5
3	8
4	2
4	3
4	5
4	7
4	8
5	1
5	2
5	3
5	4
5	6
5	7
6	1
6	5
6	7
6	9
6	10
7	2
7	4
7	5
7	6
7	8
7	9
7	10
8	3
8	4
8	7
8	9
9	10
9	11
9	14
10	11
10	12
10	15
11	12
11	14
12	14
12	13
12	15
13	14
13	15
13	16
14	16
14	17
15	16
15	18
15	19
16	18
16	19
18	19
18	20
18	21
19	20
19	26
20	21
20	22
20	23
20	24
20	26
21	22
21	25
22	23
22	25
22	26
22	28
23	24
23	25
23	26
23	28
25	26
25	28
26	27
26	28
26	29
26	30
27	29
27	30
28	29
28	31
28	32
29	30
29	31
29	32
30	31
30	36
30	35
30	42
31	32
31	33
31	34
32	33
32	34
33	34
33	37
33	38
34	37
34	38
35	36
35	42
36	41
37	38
37	39
37	47
38	39
39	43
39	44
39	45
39	49
39	51
39	52
40	42
40	43
41	42
42	43
42	46
43	46
43	44
44	45
44	47
44	48
44	52
45	47
45	48
45	49
46	49
46	50
46	51
46	52
46	53
46	54
46	55
47	48
47	49
47	51
47	52
48	49
48	51
48	52
49	50
49	51
49	52
49	53
49	54
49	55
49	56
50	51
50	52
50	54
50	55
50	56
51	52
51	53
51	54
51	55
52	53
52	54
52	55
52	63
53	54
53	55
54	55
54	56
54	57
54	58
54	59
55	56
56	57
56	59
57	58
57	59
58	59
58	60
59	60
60	61
61	62
61	66
62	63
62	64
62	66
64	65
64	66
64	67
65	66
65	67
66	67
68	18
68	19
68	20
68	26
