1	2	29.0
1	5	18.0
1	6	26.0
2	3	20.7
2	4	21.2
2	5	16.0
3	4	6.5
3	5	30.0
3	8	18.0
4	5	24.5
4	7	17.0
4	8	15.0
5	6	21.0
5	7	31.0
6	7	46.0
6	9	56.0
6	10	40.5
7	8	11.5
7	9	14.5
7	10	18.0
8	9	9.5
9	10	12.0
10	11	7.5
10	12	9.0
10	15	35.5
11	12	2.0
11	14	2.5
12	13	2.1
12	14	1.5
12	15	8.0
13	14	3.0
13	15	8.0
13	16	8.0
14	16	2.5
14	17	1.5
15	16	15.0
15	18	32.0
15	19	23.0
16	19	12.0
16	18	22.0
18	19	10.0
18	20	6.0
18	21	40.0
18	68	8.
19	26	43.0
19	68	7.
20	21	36.0
20	22	42.0
20	23	18.5
20	24	15.0
20	26	26.5
20	68	3.8
21	22	34.0
21	25	36.0
22	23	16.5
22	25	28.5
22	26	34.5
22	28	40.5
23	24	6.0
23	25	28.5
23	26	20.5
23	28	38.3
25	26	30.5
25	28	15.0
26	27	7.5
26	28	26.3
26	29	33.0
26	30	25.5
26	68	30.
27	28	35.0
27	29	23.0
27	30	21.5
28	29	20.0
28	31	28.5
28	32	36.5
29	30	28.5
29	31	17.
30	31	40.
30	35	12.
30	36	33.
30	42	51.
31	32	24.5
31	33	44.5
31	34	33.5
32	33	10.5
32	34	27.5
33	34	12.
33	37	8.5
33	38	17.5
34	37	13.5
34	38	6.5
35	36	17.5
35	42	40.
36	41	22.
37	38	15.
37	39	13.
37	47	13.
38	39	7.5
39	43	15.
39	44	10.
39	45	27.
39	47	22.
39	49	32.
39	51	31.
39	52	44.
40	42	16.
40	43	10.
41	42	6.
42	43	19.5
42	46	4.
43	44	10.5
43	46	15.5
44	45	12.
44	47	26.
44	48	36.5
44	52	36.5
45	46	16.5
45	47	32.
45	48	36.5
45	49	14.
46	49	16.
46	50	1.2
46	51	16.
46	52	29.5
46	53	28.
46	54	31.
47	48	10.5
47	49	33.
47	51	33.5
47	52	29.5
48	49	31.5
48	51	32.
48	52	27.1
49	50	16.
49	51	12.5
50	51	17.
50	52	28.5
50	53	26.
50	54	29.5
50	55	13.5
50	56	14.5
51	52	14.
51	54	18.5
51	55	16.
51	56	16.
52	53	5.
52	54	14.
52	55	16.5     
53	54	6.5
53	55	18.5
54	55	17.
54	56	29.5
55	56	17.
48	63	36.
52	63	30.
54	57	20.
54	58	22.5
54	59	33.
56	57	16.5
56	59	36.5
57	58	9.5
58	59	19.5
58	60	14.
60	61	13.
61	62	35.
61	66	66.
62	63	41.9
62	64	21.5
62	66	59.
64	65	25.5
64	66	34.5
64	67	50.5
65	66	27.
65	67	39.5
66	67	12.
