1	2	1.
1	5	1.
1	6	1.
2	1	1.
2	3	1.
2	4	1.
2	5	1.
2	7	1.
3	2	1.
3	4	1.
3	5	1.
3	8	1.
4	2	1.
4	3	1.
4	5	1.
4	7	1.
4	8	1.
5	1	1.
5	2	1.
5	3	1.
5	4	1.
5	6	1.
5	7	1.
6	1	1.
6	5	1.
6	7	1.
6	9	1.
6	10	1.
7	2	1.
7	4	1.
7	5	1.
7	6	1.
7	8	1.
7	9	1.
7	10	1.
8	3	1.
8	4	1.
8	7	1.
8	9	1.	
9	10	1.
9	11	1.
9	14	1.
10	11	1.
10	12	1.
10	15	1.
11	12	1.
11	14	1.
12	14	1.
12	13	1.
12	15	1.
13	14	1.
13	15	1.
13	16	1.
14	16	1.
14	17	1.
15	16	1.
15	18	1.
15	19	1.
16	18	1.
16	19	1.
18	19	1.
18	20	1.
18	21	1.
19	20	1.
19	26	1.
20	21	1.
20	22	1.
20	23	1.
20	24	1.
20	26	1.
21	22	1.
21	25	1.
22	23	1.
22	25	1.
22	26	1.
22	28	1.
23	24	1.
23	25	1.
23	26	1.
23	28	1.
25	26	1.
25	28	1.
26	27	1.
26	28	1.
26	29	1.
26	30	1.
27	29	1.
27	30	1.
28	29	1.
28	31	1.
28	32	1.
29	30	1.
29	31	1.
29	32	1.
30	31	1.
30	36	1.
30	35	1.
30	42	1.
31	32	1.
31	33	1.
31	34	1.
32	33	1.
32	34	1.
33	34	1.
33	37	1.
33	38	1.
34	37	1.
34	38	1.
35	36	1.
35	42	1.
36	41	1.
37	38	1.
37	39	1.
37	47	1.
38	39	1.
39	43	1.
39	44	1.
39	45	1.
39	49	1.
39	51	1.
39	52	1.
40	42	1.
40	43	1.
41	42	1.
42	43	1.
42	46	1.
43	46	1.
43	44	1.
44	45	1.
44	47	1.
44	48	1.
44	52	1.
45	47	1.
45	48	1.
45	49	1.
46	49	1.
46	50	1.
46	51	1.
46	52	1.
46	53	1.
46	54	1.
46	55	1.
47	48	1.
47	49	1.
47	51	1.
47	52	1.
48	49	1.
48	51	1.
48	52	1.
49	50	1.
49	51	1.
49	52	1.
49	53	1.
49	54	1.
49	55	1.
49	56	1.
50	51	1.
50	52	1.
50	54	1.
50	55	1.
50	56	1.
51	52	1.
51	53	1.
51	54	1.
51	55	1.
52	53	1.
52	54	1.
52	55	1.
52	63	1.
53	54	1.	
53	55	1.
54	55	1.
54	56	1.
54	57	1.
54	58	1.
54	59	1.
55	56	1.
56	57	1.
56	59	1.
57	58	1.
57	59	1.
58	59	1.
58	60	1.
59	60	1.
60	61	1.
61	62	1.
61	66	1.
62	63	1.
62	64	1.
62	66	1.
64	65	1.
64	66	1.
64	67	1.
65	66	1.
65	67	1.
66	67	1.
68	18	1.
68	19	1.
68	20	1.
68	26	1.
